code,name,cfo
000002.SZ,万科A,孙嘉
000006.SZ,深振业A,于冰
000009.SZ,中国宝安,贺德华
000019.SZ,深粮控股,王志萍
000021.SZ,深科技,莫尚云
000028.SZ,国药一致,魏平孝
000030.SZ,富奥股份,赵玉林
000032.SZ,深桑达A,赵泉勇
000035.SZ,中国天楹,张建民
000046.SZ,泛海控股,刘国升
000055.SZ,方大集团,林克槟
000065.SZ,北方国际,严家建
000096.SZ,广聚能源,陈丽红
000100.SZ,TCL科技,黄旭斌
000156.SZ,华数传媒,何刚
000333.SZ,美的集团,肖明光
000338.SZ,潍柴动力,邝焜堂
000401.SZ,冀东水泥,任前进
000411.SZ,英特集团,谌明
000425.SZ,徐工机械,吴江龙
000505.SZ,京粮控股,关颖
000513.SZ,丽珠集团,司燕霞
000526.SZ,紫光学大,王烨
000528.SZ,柳工,刘传捷
000531.SZ,穗恒运A,陈宏志
000538.SZ,云南白药,吴伟
000541.SZ,佛山照明,汤琼兰
000546.SZ,金圆股份,黄旭升
000559.SZ,万向钱潮,钟斌国
000564.SZ,供销大集,韩玮
000565.SZ,渝三峡A,向青
000568.SZ,泸州老窖,谢红
000573.SZ,粤宏远A,王连莹
000581.SZ,威孚高科,欧建斌
000589.SZ,贵州轮胎,熊朝阳
000597.SZ,东北制药,张正伟
000600.SZ,建投能源,曹芸
000601.SZ,韶能股份,袁勇会
000607.SZ,华媒控股,郭勤勇
000620.SZ,新华联,刘华明
000623.SZ,吉林敖东,张淑媛
000632.SZ,三木集团,林廷香
000639.SZ,西王食品,赵晓芬
000650.SZ,仁和药业,彭秋林
000651.SZ,格力电器,望靖东
000652.SZ,泰达股份,赵春燕
000656.SZ,金科股份,李华
000657.SZ,中钨高新,宋国华
000661.SZ,长春高新,朱兴功
000665.SZ,湖北广电,胡晓斌
000666.SZ,经纬纺机,毛发青
000668.SZ,荣丰控股,吴庆
000672.SZ,上峰水泥,张亦峰
000676.SZ,智度股份,刘韡
000677.SZ,恒天海龙,庄旭升
000685.SZ,中山公用,徐化群
000688.SZ,国城矿业,吴斌鸿
000690.SZ,宝新能源,丁珍珍
000703.SZ,恒逸石化,朱菊珍
000721.SZ,西安饮食,李慧琴
000723.SZ,美锦能源,郑彩霞
000736.SZ,中交地产,刘兵
000756.SZ,新华制药,侯宁
000766.SZ,通化金马,于军
000779.SZ,甘咨询,李建真
000786.SZ,北新建材,杨艳军
000788.SZ,北大医药,赵全波
000795.SZ,英洛华,方建武
000811.SZ,冰轮环境,吴利利
000813.SZ,德展健康,张婧红
000823.SZ,超声电子,林琪
000828.SZ,东莞控股,王庆明
000830.SZ,鲁西化工,邓绍云
000848.SZ,承德露露,鲁永明
000861.SZ,海印股份,温敏婷
000869.SZ,张裕A,姜建勋
000887.SZ,中鼎股份,易善兵
000895.SZ,双汇发展,刘松涛
000903.SZ,云内动力,屠建国
000908.SZ,景峰医药,丛树芬
000909.SZ,数源科技,李兴哲
000919.SZ,金陵药业,汪洋
000921.SZ,海信家电,高玉玲
000926.SZ,福星股份,冯俊秀
000931.SZ,中关村,宋学武
000932.SZ,华菱钢铁,肖骥
000937.SZ,冀中能源,郑温雅
000938.SZ,紫光股份,秦蓬
000948.SZ,南天信息,刘涓
000963.SZ,华东医药,马红兰
000988.SZ,华工科技,刘含树
000989.SZ,九芝堂,孙卫香
000990.SZ,诚志股份,邹勇华
001914.SZ,招商积余,张秀成
001979.SZ,招商蛇口,黄均隆
002001.SZ,新和成,石观群
002002.SZ,鸿达兴业,刘光辉
002003.SZ,伟星股份,沈利勇
002004.SZ,华邦健康,王剑
002008.SZ,大族激光,周辉强
002017.SZ,东信和平,任勃
002019.SZ,亿帆医药,喻海霞
002020.SZ,京新药业,陈美丽
002023.SZ,海特高新,邓珍容
002025.SZ,航天电器,朱育云
002027.SZ,分众传媒,刘杰良
002029.SZ,七匹狼,李玲波
002030.SZ,达安基因,张为结
002031.SZ,巨轮智能,林瑞波
002032.SZ,苏泊尔,徐波
002036.SZ,联创电子,罗顺根
002043.SZ,兔宝宝,姚红霞
002049.SZ,紫光国微,杨秋平
002050.SZ,三花智控,俞蓥奎
002054.SZ,德美化工,周红艳
002057.SZ,中钢天源,芮沅林
002062.SZ,宏润建设,黄全跃
002064.SZ,华峰氨纶,潘基础
002065.SZ,东华软件,叶莉
002066.SZ,瑞泰科技,陈荣建
002075.SZ,沙钢股份,张兆斌
002078.SZ,太阳纸业,王宗良
002081.SZ,金螳螂,蔡国华
002087.SZ,新野纺织,许勤芝
002088.SZ,鲁阳节能,张淳
002091.SZ,江苏国泰,黄宁
002092.SZ,中泰化学,胡晓东
002097.SZ,山河智能,夏志宏
002099.SZ,海翔药业,李进
002101.SZ,广东鸿图,刘刚年
002104.SZ,恒宝股份,赵长健
002107.SZ,沃华医药,王炯
002108.SZ,沧州明珠,胡庆亮
002119.SZ,康强电子,殷夏容
002126.SZ,银轮股份,朱晓红
002127.SZ,南极电商,凌云
002129.SZ,中环股份,张长旭
002138.SZ,顺络电子,徐佳
002139.SZ,拓邦股份,文朝晖
002144.SZ,宏达高科,朱海东
002146.SZ,荣盛发展,景中华
002148.SZ,北纬科技,张文涛
002151.SZ,北斗星通,刘光伟
002152.SZ,广电运通,蒋春晨
002153.SZ,石基信息,赖德源
002157.SZ,正邦科技,周锦明
002158.SZ,汉钟精机,邱玉英
002162.SZ,悦心健康,徐泰龙
002173.SZ,创新医疗,吴晓明
002179.SZ,中航光电,刘阳
002185.SZ,华天科技,宋勇
002189.SZ,中光学,张子民
002191.SZ,劲嘉股份,富培军
002203.SZ,海亮股份,陈东
002206.SZ,海利得,吕佩芬
002209.SZ,达意隆,曾德祝
002212.SZ,南洋股份,李科辉
002215.SZ,诺普信,袁庆鸿
002216.SZ,三全食品,李娜
002221.SZ,东华能源,方涛
002223.SZ,鱼跃医疗,刘丽华
002224.SZ,三力士,郭利军
002226.SZ,江南化工,王敦福
002229.SZ,鸿博股份,周美妹
002230.SZ,科大讯飞,张少兵
002232.SZ,启明信息,高英
002233.SZ,塔牌集团,赖宏飞
002236.SZ,大华股份,魏美钟
002237.SZ,恒邦股份,张克河
002241.SZ,歌尔股份,段会禄
002242.SZ,九阳股份,裘剑调
002250.SZ,联化科技,许明辉
002251.SZ,步步高,杨芳
002254.SZ,泰和新材,顾裕梅
002258.SZ,利尔化学,古美华
002266.SZ,浙富控股,李娟
002271.SZ,东方雨虹,徐玮
002273.SZ,水晶光电,郑萍
002274.SZ,华昌化工,赵惠芬
002275.SZ,桂林三金,谢元钢
002278.SZ,神开股份,汤为民
002282.SZ,博深股份,张建明
002294.SZ,信立泰,刘军
002296.SZ,辉煌科技,侯菊艳
002301.SZ,齐心集团,黄家兵
002303.SZ,美盈森,袁宏贵
002304.SZ,洋河股份,丛学年
002308.SZ,威创股份,江玉兰
002311.SZ,海大集团,杨少林
002315.SZ,焦点科技,顾军
002317.SZ,众生药业,龙春华
002320.SZ,海峡股份,欧阳汉
002326.SZ,永太科技,陈丽洁
002331.SZ,皖通科技,卢玉平
002335.SZ,科华恒盛,汤珊
002337.SZ,赛象科技,焦君涵
002338.SZ,奥普光电,徐爱民
002340.SZ,格林美,宋万祥
002341.SZ,新纶科技,马素清
002348.SZ,高乐股份,沈梅
002349.SZ,精华制药,杨小军
002351.SZ,漫步者,王红蓉
002352.SZ,顺丰控股,伍玮婷
002353.SZ,杰瑞股份,李雪峰
002363.SZ,隆基机械,刘建
002365.SZ,永安药业,吴晓波
002370.SZ,亚太药业,何珍
002372.SZ,伟星新材,陈安门
002373.SZ,千方科技,夏曙锋
002376.SZ,新北洋,荣波
002378.SZ,章源钨业,范迪曜
002382.SZ,蓝帆医疗,孙传志
002384.SZ,东山精密,王旭
002385.SZ,大北农,林孙雄
002391.SZ,长青股份,马长庆
002395.SZ,双象股份,顾茜一
002396.SZ,星网锐捷,杨坚平
002397.SZ,梦洁股份,龙翼
002399.SZ,海普瑞,张斌
002402.SZ,和而泰,罗珊珊
002404.SZ,嘉欣丝绸,沈玉祁
002406.SZ,远东传动,史彩霞
002407.SZ,多氟多,程立静
002408.SZ,齐翔腾达,黄磊
002413.SZ,雷科防务,高立宁
002414.SZ,高德红外,王玉
002422.SZ,科伦药业,赖德贵
002429.SZ,兆驰股份,严志荣
002433.SZ,太安堂,余祥
002435.SZ,长江健康,卢斌
002437.SZ,誉衡药业,刁秀强
002438.SZ,江苏神通,林冬香
002439.SZ,启明星辰,张媛
002444.SZ,巨星科技,倪淑一
002448.SZ,中原内配,明成
002449.SZ,国星光电,唐群力
002453.SZ,华软科技,张杰
002455.SZ,百川股份,曹彩娥
002460.SZ,赣锋锂业,杨满英
002461.SZ,珠江啤酒,朱维彬
002463.SZ,沪电股份,朱碧霞
002466.SZ,天齐锂业,邹军
002475.SZ,立讯精密,叶怡伶
002478.SZ,常宝股份,王云芳
002479.SZ,富春环保,黄菊华
002481.SZ,双塔食品,隋君美
002484.SZ,江海股份,王军
002487.SZ,大金重工,陈雪芳
002493.SZ,荣盛石化,李彩娥
002497.SZ,雅化集团,杨庆
002498.SZ,汉缆股份,刘建军
002507.SZ,涪陵榨菜,韦永生
002508.SZ,老板电器,张国富
002511.SZ,中顺洁柔,董晔
002520.SZ,日发精机,周国祥
002526.SZ,山东矿机,张星春
002536.SZ,飞龙股份,孙定文
002537.SZ,海联金汇,洪晓明
002538.SZ,司尔特,方君
002539.SZ,云图控股,范明
002540.SZ,亚太科技,范迓胜
002545.SZ,东方铁塔,赵玉伟
002549.SZ,凯美特气,徐卫忠
002551.SZ,尚荣医疗,游泳
002555.SZ,三七互娱,叶威
002559.SZ,亚威股份,施金霞
002561.SZ,徐家汇,戴正坤
002562.SZ,兄弟科技,张永辉
002567.SZ,唐人神,郭拥华
002576.SZ,通达动力,卢应伶
002579.SZ,中京电子,余祥斌
002593.SZ,日上集团,何爱平
002594.SZ,比亚迪,吴经胜
002596.SZ,海南瑞泽,张贵阳
002597.SZ,金禾实业,仰宗勇
002601.SZ,龙蟒佰利,申庆飞
002602.SZ,世纪华通,赏国良
002612.SZ,朗姿股份,常静
002613.SZ,北玻股份,夏冰
002614.SZ,奥佳华,苏卫标
002622.SZ,融钰集团,邓强
002626.SZ,金达威,洪航
002631.SZ,德尔未来,吴惠芳
002632.SZ,道明光学,张崇俊
002636.SZ,金安国纪,王以清
002640.SZ,跨境通,安小红
002641.SZ,永高股份,杨永安
002645.SZ,华宏科技,朱大勇
002648.SZ,卫星石化,王满英
002649.SZ,博彦科技,CUI YAN
002651.SZ,利君股份,林麟
002653.SZ,海思科,段鹏
002661.SZ,克明面业,李锐
002664.SZ,长鹰信质,楚瑞明
002672.SZ,东江环保,李蒲林
002674.SZ,兴业科技,李光清
002675.SZ,东诚药业,朱春萍
002678.SZ,珠江钢琴,麦燕玉
002683.SZ,宏大爆破,王丽娟
002687.SZ,乔治白,李富华
002688.SZ,金河生物,牛有山
002689.SZ,远大智能,张楠
002690.SZ,美亚光电,张浩
002698.SZ,博实股份,陈博
002701.SZ,奥瑞金,王冬
002702.SZ,海欣食品,郑顺辉
002712.SZ,思美传媒,张国昀
002713.SZ,东易日盛,李双侠
002722.SZ,金轮股份,周海生
002724.SZ,海洋王,唐小芬
002728.SZ,特一药业,陈习良
002731.SZ,萃华珠宝,锡燕
002733.SZ,雄韬股份,周剑青
002738.SZ,中矿资源,肖晓霞
002745.SZ,木林森,易亚男
002747.SZ,埃斯顿,袁琴
002757.SZ,南兴股份,杨建林
002758.SZ,华通医药,周志法
002759.SZ,天际股份,杨志轩
002763.SZ,汇洁股份,王静
002767.SZ,先锋电子,吴伟良
002768.SZ,国恩股份,周兴
002773.SZ,康弘药业,钟建军
002776.SZ,柏堡龙,王琦
002777.SZ,久远银海,杨成文
002783.SZ,凯龙股份,张勇
002785.SZ,万里石,朱著香
600004.SH,白云机场,莫名贞
600008.SH,首创股份,郝春梅
600017.SH,日照港,孙少波
600019.SH,宝钢股份,吴琨宗
600021.SH,上海电力,陈文灏
600022.SH,山东钢铁,尉可超
600023.SH,浙能电力,曹路
600028.SH,中国石化,王德华
600029.SH,南方航空,肖立新
600031.SH,三一重工,刘华
600033.SH,福建高速,郑建雄
600035.SH,楚天高速,罗敏
600039.SH,四川路桥,李继东
600048.SH,保利地产,周东利
600051.SH,宁波联合,董庆慈
600057.SH,厦门象屿,齐卫东
600064.SH,南京高科,周克金
600066.SH,宇通客车,吕学庆
600075.SH,新疆天业,夏中兵
600076.SH,康欣新材,李武鹏
600080.SH,金花股份,侯亦文
600094.SH,大名城,郑国强
600096.SH,云天化,钟德红
600097.SH,开创国际,朱正伟
600101.SH,明星电力,邹德成
600103.SH,青山纸业,郭俊卿
600104.SH,上汽集团,卫勇
600114.SH,东睦股份,肖亚军
600115.SH,东方航空,吴永良
600118.SH,中国卫星,李远
600123.SH,兰花科创,邢跃宏
600125.SH,铁龙物流,吴琼
600143.SH,金发科技,奉中杰
600158.SH,中体产业,顾兴全
600160.SH,巨化股份,王笑明
600163.SH,中闽能源,潘炳信
600168.SH,武汉控股,孙丽
600171.SH,上海贝岭,佟小丽
600173.SH,卧龙地产,马亚军
600176.SH,中国巨石,汪源
600188.SH,兖州煤业,赵青春
600189.SH,吉林森工,薛义
600190.SH,锦州港,李挺
600201.SH,生物股份,张红梅
600206.SH,有研新材,赵彩霞
600210.SH,紫江企业,秦正余
600217.SH,中再资环,程赣秋
600219.SH,南山铝业,韩艳红
600220.SH,江苏阳光,徐霞
600233.SH,圆通速递,林凯
600237.SH,铜峰电子,蒋金伟
600246.SH,万通地产,石莹
600248.SH,延长化建,何昕
600252.SH,中恒集团,黄子俊
600256.SH,广汇能源,马晓燕
600258.SH,首旅酒店,李向荣
600260.SH,凯乐科技,刘莲春
600261.SH,阳光照明,周亚梅
600285.SH,羚锐制药,潘滋润
600293.SH,三峡新材,刘逸民
600295.SH,鄂尔多斯,王贵生
600297.SH,广汇汽车,卢翱
600299.SH,安迪苏,蔡昀
600300.SH,维维股份,赵昌磊
600305.SH,恒顺醋业,刘欣
600308.SH,华泰股份,陈国营
600309.SH,万华化学,寇光武
600310.SH,桂东电力,李均毅
600325.SH,华发股份,俞卫国
600327.SH,大东方,王精龙
600330.SH,天通股份,张桂宝
600336.SH,澳柯玛,徐玉翠
600352.SH,浙江龙盛,罗斌
600360.SH,华微电子,王晓林
600361.SH,华联综超,马作群
600363.SH,联创光电,陈国锋
600367.SH,红星发展,余孔华
600376.SH,首开股份,邢宝华
600378.SH,昊华科技,龙崇军
600380.SH,健康元,曹平伟
600386.SH,北巴传媒,石春国
600392.SH,盛和资源,夏兰田
600398.SH,海澜之家,钱亚萍
600415.SH,小商品城,赵笛芳
600420.SH,现代制药,李昊
600429.SH,三元股份,刘旭
600436.SH,片仔癀,庄建珍
600438.SH,通威股份,袁仕华
600449.SH,宁夏建材,周春宁
600459.SH,贵研铂业,胥翠芬
600468.SH,百利电气,李军
600479.SH,千金药业,谢爱维
600483.SH,福能股份,许建才
600486.SH,扬农化工,董兆云
600493.SH,凤竹纺织,吴训豪
600498.SH,烽火通信,符宇航
600500.SH,中化国际,秦晋克
600507.SH,方大特钢,谭兆春
600510.SH,黑牡丹,陈强
600511.SH,国药股份,沈黎新
600521.SH,华海药业,张美
600522.SH,中天科技,高洪时
600523.SH,贵航股份,孙冬云
600531.SH,豫光金铅,苗红强
600537.SH,亿晶光电,孙琛华
600547.SH,山东黄金,王培月
600549.SH,厦门钨业,许火耀
600559.SH,老白干酒,李玉雷
600565.SH,迪马股份,易琳
600566.SH,济川药业,吴宏亮
600573.SH,惠泉啤酒,王岳
600577.SH,精达股份,储忠京
600579.SH,克劳斯,阴晓辉
600580.SH,卧龙电驱,吴剑波
600582.SH,天地科技,宋家兴
600583.SH,海油工程,陈永红
600586.SH,金晶科技,栾尚运
600587.SH,新华医疗,李财祥
600588.SH,用友网络,章培林
600589.SH,广东榕泰,郑创佳
600592.SH,龙溪股份,曾四新
600593.SH,大连圣亚,孙湘
600596.SH,新安股份,徐永鑫
600600.SH,青岛啤酒,于竹明
600601.SH,方正科技,暴楠
600613.SH,神奇制药,刚冲霞
600617.SH,国新能源,王树花
600622.SH,光大嘉宝,金红
600641.SH,万业企业,邵伟宏
600660.SH,福耀玻璃,陈向明
600665.SH,天地源,王乃斌
600667.SH,太极实业,杨少波
600675.SH,中华企业,倪伯士
600676.SH,交运股份,叶跃
600683.SH,京投发展,贾卫平
600686.SH,金龙汽车,乔红军
600689.SH,上海三毛,周志宇
600690.SH,海尔智家,宫伟
600699.SH,均胜电子,李俊彧
600702.SH,舍得酒业,李富全
600710.SH,苏美达,赵建国
600716.SH,凤凰股份,颜树云
600717.SH,天津港,诸葛涛
600720.SH,祁连山,杨虎
600724.SH,宁波富达,甘樟强
600727.SH,鲁北化工,马文举
600728.SH,佳都科技,王淑华
600735.SH,新华锦,禹晶
600738.SH,兰州民百,杨武琴
600741.SH,华域汽车,陈晓东
600748.SH,上实发展,袁纪行
600754.SH,锦江酒店,沈莉
600755.SH,厦门国贸,吴韵璇
600756.SH,浪潮软件,路生伟
600758.SH,红阳能源,巩方海
600765.SH,中航重机,乔堃
600770.SH,综艺股份,钱志华
600785.SH,新华百货,王保禄
600790.SH,轻纺城,邬建昌
600792.SH,云煤能源,马云丽
600810.SH,神马股份,赵运通
600820.SH,隧道股份,王志华
600827.SH,百联股份,郑小芸
600835.SH,上海机电,桂江生
600850.SH,华东电脑,杨之华
600851.SH,海欣股份,杨爱民
600855.SH,航天长峰,刘磊
600859.SH,王府井,杜建国
600885.SH,宏发股份,刘圳田
600887.SH,伊利股份,赵成霞
600888.SH,新疆众和,陆旸
600900.SH,长江电力,谢峰
600917.SH,重庆燃气,吴灿光
600965.SH,福成股份,程静
600971.SH,恒源煤电,朱四一
600979.SH,广安爱众,贺图林
600984.SH,建设机械,白海红
600986.SH,科达股份,王巧兰
600990.SH,四创电子,韩耀庆
601000.SH,唐山港,单利霞
601002.SH,晋亿实业,薛玲
601007.SH,金陵饭店,胡文进
601012.SH,隆基股份,刘学文
601058.SH,赛轮轮胎,刘燕华
601155.SH,新城控股,管有冬
601177.SH,杭齿前进,张德军
601188.SH,龙江交通,侯彦龙
601226.SH,华电重工,赵江
601369.SH,陕鼓动力,赵甲文
601388.SH,怡球资源,黄勤利
601390.SH,中国中铁,杨良
601515.SH,东风股份,李治军
601567.SH,三星医疗,梁嵩峦
601599.SH,鹿港文化,徐群
601600.SH,中国铝业,张占魁
601607.SH,上海医药,沈波
601633.SH,长城汽车,李凤珍
601668.SH,中国建筑,薛克庆
601677.SH,明泰铝业,孙军训
601678.SH,滨化股份,孔祥金
601689.SH,拓普集团,洪铁阳
601766.SH,中国中车,詹艳景
601799.SH,星宇股份,李树军
601886.SH,江河集团,赵世东
601899.SH,紫金矿业,林红英
601933.SH,永辉超市,黄明月
603010.SH,万盛股份,周三昌
603017.SH,中衡设计,徐海英
603018.SH,中设集团,侯力纲
603025.SH,大豪科技,杨葳
603030.SH,全筑股份,李福刚
603077.SH,和邦生物,王军
603100.SH,川仪股份,冯锦云
603108.SH,润达医疗,凌海卿
603128.SH,华贸物流,于永乾
603167.SH,渤海轮渡,薛锋
603222.SH,济民制药,梁太荣
603300.SH,华铁应急,张伟丽
603306.SH,华懋科技,陈少琳
603308.SH,应流股份,钟为义
603328.SH,依顿电子,金鏖
603338.SH,浙江鼎力,王美华
603368.SH,柳药股份,苏春燕
603369.SH,今世缘,王卫东
603398.SH,邦宝益智,李吟珍
603456.SH,九洲药业,戴云友
603508.SH,思维列控,苏站站
603558.SH,健盛集团,胡天兴
603566.SH,普莱柯,裴莲凤
603568.SH,伟明环保,程鹏
603588.SH,高能环境,吴秀姣
603589.SH,口子窖,范博
603598.SH,引力传媒,王晓颖
603600.SH,永艺股份,吕成
603616.SH,韩建河山,魏良彬
603678.SH,火炬电子,李海松
603699.SH,纽威股份,凌蕾菁
603766.SH,隆鑫通用,王建超
603808.SH,歌力思,刘树祥
603828.SH,柯利达,孙振华
603866.SH,桃李面包,谭秀坤
603898.SH,好莱客,邓涛
603936.SH,博敏电子,刘远程
603939.SH,益丰药房,罗迎辉
603968.SH,醋化股份,颜美华
603998.SH,方盛制药,肖汉卿
